time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-05-01T23:58:59.650Z,35.6856667,-117.5276667,8.4,1.06,ml,24,78,0.1124,0.15,ci,ci38476202,2020-05-02T00:10:48.493Z,"14km SW of Searles Valley, CA",earthquake,0.24,0.87,0.117,11,reviewed,ci,ci
2020-05-01T23:58:36.010Z,35.6295,-117.4648333,7.28,1.11,ml,14,140,0.04296,0.2,ci,ci38476194,2020-05-02T00:02:22.283Z,"16km SSW of Searles Valley, CA",earthquake,0.6,0.98,0.188,16,automatic,ci,ci
2020-05-01T23:57:03.240Z,38.8223343,-122.8061676,3.07,0.55,md,11,59,0.00323,0.02,nc,nc73379080,2020-05-02T00:03:03.636Z,"7km NW of The Geysers, CA",earthquake,0.44,1.3,,1,automatic,nc,nc
2020-05-01T23:52:49.360Z,38.8216667,-122.8061676,2.63,1.17,md,30,36,0.003506,0.02,nc,nc73379075,2020-05-02T01:03:04.048Z,"7km NW of The Geysers, CA",earthquake,0.19,0.38,0.15,7,automatic,nc,nc
2020-05-01T23:46:56.425Z,61.0078,-150.9588,55.2,0.9,ml,,,,0.22,ak,ak0205m5jaga,2020-05-01T23:53:20.292Z,"39km NNE of Nikiski, Alaska",earthquake,,1.6,,,automatic,ak,ak
2020-05-01T23:46:11.820Z,36.5099983,-121.0859985,7.5,1.63,md,8,119,0.05909,0.06,nc,nc73379070,2020-05-02T00:42:33.908Z,"6km ESE of Pinnacles, CA",earthquake,0.57,1.63,0.16,8,automatic,nc,nc
2020-05-01T23:41:28.548Z,60.2574,-141.4585,0,1.4,ml,,,,0.81,ak,ak0205m5i5py,2020-05-01T23:53:19.760Z,"58km ENE of Cape Yakataga, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-05-01T23:37:14.020Z,36.1398333,-117.928,3.95,0.95,ml,9,258,0.06324,0.1,ci,ci38476178,2020-05-01T23:40:47.119Z,"11km N of Coso Junction, CA",earthquake,0.6,0.43,0.39,7,automatic,ci,ci
2020-05-01T23:31:27.820Z,38.8955,-123.599,6.91,1.47,md,16,151,0.08215,0.16,nc,nc73379065,2020-05-02T08:02:03.160Z,"9km ESE of Point Arena, CA",earthquake,0.38,1.06,0.182,7,reviewed,nc,nc
2020-05-01T23:23:49.460Z,35.5433333,-117.4361667,5.13,0.24,ml,4,201,0.04802,0.02,ci,ci38476170,2020-05-01T23:56:53.082Z,"23km ESE of Ridgecrest, CA",earthquake,0.76,0.21,0.022,1,reviewed,ci,ci
2020-05-01T23:22:33.450Z,38.8258324,-122.7826691,1.73,1.13,md,20,46,0.01099,0.03,nc,nc73379055,2020-05-02T04:00:04.689Z,"5km W of Cobb, CA",earthquake,0.22,0.37,0.11,6,automatic,nc,nc
2020-05-01T23:18:21.460Z,19.1876659,-155.4528351,34.26,1.88,md,25,200,0.07449,0.12,hv,hv71495987,2020-05-01T23:21:28.920Z,"3km SE of Pahala, Hawaii",earthquake,1.18,1.47,0.24,3,automatic,hv,hv
2020-05-01T23:18:11.590Z,35.9345,-117.7433333,10.28,0.9,ml,11,70,0.06214,0.29,ci,ci38476162,2020-05-01T23:21:47.859Z,"15km E of Little Lake, CA",earthquake,1.15,1.73,0.076,7,automatic,ci,ci
2020-05-01T23:12:18.260Z,36.1408333,-117.9286667,4.5,1,ml,10,105,0.0641,0.08,ci,ci38476154,2020-05-01T23:16:00.662Z,"11km N of Coso Junction, CA",earthquake,0.3,0.33,0.251,10,automatic,ci,ci
2020-05-01T23:07:30.535Z,60.4241,-143.2897,25,1.3,ml,,,,1.04,ak,ak0205m5avkb,2020-05-01T23:09:59.702Z,"62km NW of Cape Yakataga, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-05-01T22:59:46.770Z,38.8219986,-122.8073349,2.73,0.89,md,14,73,0.01687,0.03,nc,nc73379050,2020-05-01T23:06:03.043Z,"7km NW of The Geysers, CA",earthquake,0.29,0.74,0.02,3,automatic,nc,nc
2020-05-01T22:59:38.270Z,36.1106667,-117.852,5.24,0.68,ml,11,145,0.007277,0.05,ci,ci38476146,2020-05-01T23:58:28.096Z,"11km NE of Coso Junction, CA",earthquake,0.24,0.34,0.096,5,reviewed,ci,ci
2020-05-01T22:59:30.540Z,19.1773338,-155.440506,37.97,1.93,md,24,166,0.08971,0.09,hv,hv71495972,2020-05-01T23:02:46.390Z,"5km SE of Pahala, Hawaii",earthquake,0.94,1.71,0.05,4,automatic,hv,hv
2020-05-01T22:55:16.330Z,36.5035019,-121.0761642,7.87,1.27,md,6,128,0.05031,0.06,nc,nc73379040,2020-05-02T03:33:04.658Z,"7km ESE of Pinnacles, CA",earthquake,0.77,1.53,0.2,5,automatic,nc,nc
2020-05-01T22:54:16.350Z,37.6386667,-118.9436667,5.26,0.48,md,17,72,0.02502,0.05,nc,nc73379045,2020-05-01T23:37:04.462Z,"3km E of Mammoth Lakes, CA",earthquake,0.38,0.46,0.335,14,reviewed,nc,nc
2020-05-01T22:53:10.575Z,14.3551,-93.1641,35,4.3,mb,,182,1.433,0.77,us,usd000cj19,2020-05-01T23:12:34.040Z,"89km WSW of Puerto Madero, Mexico",earthquake,8.1,2,0.049,116,reviewed,us,us
2020-05-01T22:47:27.075Z,57.1242,-155.1072,46.5,2.1,ml,,,,0.38,ak,ak0205m4y0b8,2020-05-01T22:59:17.034Z,"82km SW of Larsen Bay, Alaska",earthquake,,2.5,,,automatic,ak,ak
2020-05-01T22:47:25.450Z,33.5026667,-116.5048333,10.61,0.64,ml,22,119,0.05889,0.09,ci,ci38476130,2020-05-02T00:01:44.850Z,"17km ESE of Anza, CA",earthquake,0.17,0.27,0.136,8,reviewed,ci,ci
